pb_acc	gene
ENSMUST00000039080.4	8430432A02Rik
ENSMUST00000039173.13	Relch
ENSMUST00000039178.12	Tnn
ENSMUST00000039323.8	AA986860
ENSMUST00000039506.15	Igsf8
ENSMUST00000039534.11	Resp18
ENSMUST00000039612.5	Lonrf2
ENSMUST00000039672.6	Mfsd9
ENSMUST00000039725.12	Exo1
ENSMUST00000039827.14	Aff3
ENSMUST00000039862.11	Zp3r
ENSMUST00000039867.10	Zbtb41
ENSMUST00000040210.14	Trpm8
ENSMUST00000040250.15	Kmo
ENSMUST00000040298.5	Creg1
ENSMUST00000040311.14	Thsd7b
ENSMUST00000040357.11	Rcsd1
ENSMUST00000040442.6	Aox4
ENSMUST00000040538.10	Sccpdh
ENSMUST00000040649.7	Gm6187
ENSMUST00000040689.15	Atg9a
ENSMUST00000040695.5	Sbspon
ENSMUST00000040706.9	Cnst
ENSMUST00000040783.11	Usp40
ENSMUST00000040999.14	Aox3
ENSMUST00000041023.14	Ipo9
ENSMUST00000041213.12	Cnppd1
ENSMUST00000041240.4	Shisa4
ENSMUST00000041447.5	Trpa1
ENSMUST00000041621.5	Lipt1
ENSMUST00000041638.8	Gtf3c3
ENSMUST00000041776.12	Rgs8
ENSMUST00000041815.15	Tsga10
ENSMUST00000041838.7	Adgrb3
ENSMUST00000041874.9	Npl
ENSMUST00000042125.15	Ttll4
ENSMUST00000042141.12	Dhx9
ENSMUST00000042161.15	Mgat4a
ENSMUST00000042228.15	Ifi203
ENSMUST00000042275.15	Inpp5d
ENSMUST00000042373.12	Shcbp1l
ENSMUST00000042493.10	Ccdc115
ENSMUST00000042498.14	Hdlbp
ENSMUST00000042509.13	Ppip5k2
ENSMUST00000042610.15	Ifi207
ENSMUST00000042734.3	1700066M21Rik
ENSMUST00000042857.14	Satb2
ENSMUST00000042986.10	Plcl1
ENSMUST00000043094.13	Itln1
ENSMUST00000043104.9	Cr2
ENSMUST00000043170.4	Gm9765
ENSMUST00000043189.14	Nfasc
ENSMUST00000043235.8	Tiprl
ENSMUST00000043313.15	Nmnat2
ENSMUST00000043336.11	St8sia4
ENSMUST00000043338.10	Sft2d2
ENSMUST00000043550.11	Traf3ip3
ENSMUST00000043560.15	Smg7
ENSMUST00000043578.13	St18
ENSMUST00000043718.12	Mab21l4
ENSMUST00000043725.9	Cntnap5a
ENSMUST00000043839.5	F11r
ENSMUST00000043951.10	Actr1b
ENSMUST00000044021.12	Slc19a2
ENSMUST00000044180.5	Npbwr1
ENSMUST00000044190.12	Hhat
ENSMUST00000044260.11	Usp37
ENSMUST00000044311.9	Colgalt2
ENSMUST00000044359.16	Ankrd44
